Qafár af (Afar)	aa
Nederlands (Dutch)	nl
norsk nynorsk (Norwegian Nynorsk)	nn
norsk bokmål (Norwegian (bokmål))	no
Novial (Novial)	nov
Nouormand (Nouormand)	nrm
Sesotho sa Leboa (Northern Sotho)	nso
Diné bizaad (Navajo)	nv
Chi-Chewa (Nyanja)	ny
occitan (Occitan)	oc
Oromoo (Oromo)	om
ଓଡ଼ିଆ (Oriya)	or
Ирон (Ossetic)	os
ਪੰਜਾਬੀ (Punjabi)	pa
Pangasinan (Pangasinan)	pag
Kapampangan (Pampanga)	pam
Papiamentu (Papiamento)	pap
Picard (Picard)	pcd
Deitsch (Pennsylvania German)	pdc
Pälzisch (Palatine German)	pfl
पालि (Pali)	pi
Norfuk / Pitkern (Norfuk / Pitkern)	pih
polski (Polish)	pl
Piemontèis (Piedmontese)	pms
پنجابی (Western Punjabi)	pnb
Ποντιακά (Pontic)	pnt
پښتو (Pashto)	ps
português (Portuguese)	pt
Runa Simi (Quechua)	qu
rumantsch (Romansh)	rm
Romani (Romani)	rmy
Kirundi (Rundi)	rn
română (Romanian)	ro
armãneashti (Aromanian)	roa-rup
tarandíne (tarandíne)	roa-tara
русский (Russian)	ru
русиньскый (Rusyn)	rue
Kinyarwanda (Kinyarwanda)	rw
संस्कृतम् (Sanskrit)	sa
саха тыла (Sakha)	sah
sardu (Sardinian)	sc
sicilianu (Sicilian)	scn
Scots (Scots)	sco
سنڌي (Sindhi)	sd
sámegiella (Northern Sami)	se
Sängö (Sango)	sg
srpskohrvatski / српскохрватски (Serbo-Croatian)	sh
සිංහල (Sinhala)	si
Simple English (Simple English)	simple
slovenčina (Slovak)	sk
slovenščina (Slovenian)	sl
Gagana Samoa (Samoan)	sm
chiShona (Shona)	sn
Soomaaliga (Somali)	so
shqip (Albanian)	sq
српски / srpski (Serbian)	sr
Sranantongo (Sranan Tongo)	srn
SiSwati (Swati)	ss
Sesotho (Southern Sotho)	st
Seeltersk (Saterland Frisian)	stq
Basa Sunda (Sundanese)	su
svenska (Swedish)	sv
Kiswahili (Swahili)	sw
ślůnski (Silesian)	szl
தமிழ் (Tamil)	ta
తెలుగు (Telugu)	te
tetun (Tetum)	tet
тоҷикӣ (Tajik)	tg
ไทย (Thai)	th
ትግርኛ (Tigrinya)	ti
Türkmençe (Turkmen)	tk
Tagalog (Tagalog)	tl
Setswana (Tswana)	tn
lea faka-Tonga (Tongan)	to
Tok Pisin (Tok Pisin)	tpi
Türkçe (Turkish)	tr
Xitsonga (Tsonga)	ts
татарча/tatarça (Tatar)	tt
chiTumbuka (Tumbuka)	tum
Twi (Twi)	tw
reo tahiti (Tahitian)	ty
тыва дыл (Tuvinian)	tyv
удмурт (Udmurt)	udm
ئۇيغۇرچە / Uyghurche (Uyghur)	ug
українська (Ukrainian)	uk
اردو (Urdu)	ur
oʻzbekcha (Uzbek)	uz
Tshivenda (Venda)	ve
vèneto (Venetian)	vec
vepsän kel’ (Veps)	vep
Tiếng Việt (Vietnamese)	vi
West-Vlams (West Flemish)	vls
Volapük (Volapük)	vo
walon (Walloon)	wa
Winaray (Waray)	war
Wolof (Wolof)	wo
吴语 (Wu)	wuu
хальмг (Kalmyk)	xal
isiXhosa (Xhosa)	xh
მარგალური (Mingrelian)	xmf
ייִדיש (Yiddish)	yi
Yorùbá (Yoruba)	yo
Vahcuengh (Zhuang)	za
Zeêuws (Zeeuws)	zea
中文 (Chinese)	zh
文言 (Classical Chinese)	zh-classical
Bân-lâm-gú (Chinese (Min Nan))	zh-min-nan
粵語 (Cantonese)	zh-yue
isiZulu (Zulu)	zu
